i4,c10,c15,i1,r4
1,david,rhoads,59,1.57
2,leia,welles,30,1.64
3,joe,kardashian,53,1.60
4,spock,servedio,33,1.70
5,joe,morrison,41,1.75
6,joseph,osbourne,23,1.85
7,ling,skywalker,58,1.53
8,xi,becker,29,1.78
9,spock,ross,51,1.67
10,han,yannakakis,30,1.60
11,jeremy,organa,34,1.87
12,luke,hofstadter,18,1.71
13,jeff,chen,34,1.64
14,angelica,beethoven,25,1.62
15,bruce,hanks,30,1.62
16,ashish,sitaridi,36,1.63
17,ioannis,chen,38,1.66
18,angelina,young,36,1.72
19,malcolm,stonebraker,33,1.74
20,bruce,solo,35,1.56
21,pam,malkin,37,1.74
22,jeremy,solo,12,1.92
23,jim,geambasu,13,1.97
24,luis,ross,50,1.53
25,adam,skywalker,35,1.92
26,barack,beethoven,50,1.75
27,jack,solo,46,1.88
28,luis,malkin,18,1.85
29,dhaval,obama,40,1.85
30,barack,organa,53,1.56
31,george,servedio,29,1.70
32,eric,bellovin,59,1.84
33,eric,becker,47,1.98
34,ioannis,gravano,19,1.50
35,michael,bach,48,1.69
36,randy,cohen,28,1.97
37,martha,dewitt,13,1.72
38,cliff,sitaridi,43,1.70
39,angelica,bach,24,1.52
40,john,hanks,13,1.88
41,joseph,smith,57,1.90
42,rocco,rhoads,36,1.55
43,jim,sitaridi,18,1.63
44,james,beethoven,48,1.76
45,martha,kardashian,55,1.65
46,bruce,dickinson,40,1.77
47,kim,bellovin,46,1.68
48,ethan,biliris,58,1.64
49,john,beethoven,31,1.94
50,pam,ross,30,1.71
51,jack,osbourne,33,1.78
52,michael,hellerstein,16,1.85
53,sebastian,bellovin,36,1.50
54,pam,bush,44,1.80
55,ludwig,beethoven,53,1.95
56,bruce,malkin,27,1.64
57,dimitris,young,13,1.62
58,tal,smith,37,1.73
59,ling,cohen,43,1.50
60,james,smith,12,1.63
61,dimitris,morrison,29,1.52
62,adam,bach,29,1.78
63,xi,welles,40,1.86
64,michael,geambasu,24,1.97
65,ozzy,young,22,1.92
66,jeremy,papadimitriou,41,1.89
67,randy,beethoven,51,1.88
68,leia,geambasu,16,1.93
69,joseph,organa,12,1.50
70,joseph,osbourne,12,1.71
71,dimitris,gravano,12,1.83
72,john,dewitt,48,1.91
73,han,ross,36,1.74
74,joseph,becker,19,1.56
75,barack,hofstadter,32,2.00
76,hila,solo,18,1.78
77,angelina,hellerstein,19,1.86
78,luke,beethoven,38,1.61
79,sebastian,morrison,53,1.54
80,luke,katz,44,1.80
81,ozzy,keromutis,33,1.59
82,alex,dewitt,50,1.82
83,luke,dewitt,39,1.61
84,jeremy,young,40,1.61
85,eric,malkin,56,1.89
86,ioannis,katz,50,1.99
87,sebastian,skywalker,50,1.83
88,vaggelis,sitaridi,34,1.73
89,luis,cohen,14,1.98
90,michael,ross,41,1.94
91,sheldon,hellerstein,14,1.84
92,jack,ross,43,1.59
93,sebastian,solo,54,1.53
94,angelina,polychroniou,50,1.83
95,alex,geambasu,36,1.79
96,cliff,hofstadter,51,2.00
97,ethan,rhoads,40,1.95
98,david,organa,43,1.85
99,simha,hoare,17,1.61
100,xi,paparas,38,1.65
101,dhaval,beethoven,23,1.96
102,jack,dickinson,31,1.52
103,ling,kardashian,28,1.71
104,dimitris,hellerstein,51,1.83
105,jeremy,hellerstein,50,1.70
106,angelica,malkin,13,1.72
107,simha,sitaridi,17,1.86
108,daniel,geambasu,30,1.86
109,aaron,katz,20,1.84
110,angelina,sitaridi,36,1.55
111,daniel,smith,59,1.94
112,adam,katz,22,1.89
113,orestis,smith,26,1.52
114,spock,becker,42,1.94
115,jim,morrison,20,1.90
116,rocco,kardashian,30,1.80
117,malcolm,stonebraker,23,1.54
118,pam,hellerstein,50,1.89
119,ludwig,rhoads,43,1.89
120,george,keromutis,20,1.69
121,hila,osbourne,30,1.50
122,john,dewitt,10,1.77
123,sebastian,polychroniou,10,1.60
124,han,stonebraker,54,1.96
125,george,bellovin,36,1.81
126,angelica,bach,55,1.91
127,sebastian,servedio,42,1.51
128,ling,sitaridi,23,1.66
129,vaggelis,paparas,19,1.58
130,ozzy,yannakakis,42,1.60
